Pressure_kPa,RUL_seconds
350.0,350
350.0,385
353.9633391328754,417
353.9633391328754,367
338.507958239367,300
338.507958239367,389
338.78111228374786,388
338.78111228374786,299
336.62267107666,403
336.62267107666,336
356.4894532712554,369
356.4894532712554,335
347.40776242494206,430
347.40776242494206,404
356.58606273554835,382
356.58606273554835,383
383.906539211201,345
383.906539211201,374
386.4078773124369,369
386.4078773124369,484
362.1785646794471,338
362.1785646794471,298
351.50672597906,327
351.50672597906,398
358.24833178853595,348
358.24833178853595,335
329.8105596725596,320
329.8105596725596,395
327.74149077165805,367
327.74149077165805,307
347.083058837237,361
347.083058837237,301
347.5466348598312,397
347.5466348598312,406
378.7213219557995,418
378.7213219557995,384
356.05613326996524,343
356.05613326996524,347
338.3487438238415,350
338.3487438238415,364
331.9045177854941,365
331.9045177854941,364
342.28842212455174,377
342.28842212455174,357
344.9084640558352,361
344.9084640558352,279
382.1374656933205,409
382.1374656933205,449
361.360974076116,409
361.360974076116,405
357.8272678906812,394
357.8272678906812,425
368.5576061835089,371
368.5576061835089,404
359.0914693960861,430
359.0914693960861,412
364.3633408995604,462
364.3633408995604,366
364.6398950319569,368
364.6398950319569,331
371.4637682886124,378
371.4637682886124,354
341.25057408900324,321
341.25057408900324,413
359.43100438802406,293
359.43100438802406,418
354.3803337653006,311
354.3803337653006,371
356.78803836194777,350
356.78803836194777,394
349.43544255535903,341
349.43544255535903,362
376.4958464818032,362
376.4958464818032,391
334.4853754172272,328
334.4853754172272,281
365.22702245966354,346
365.22702245966354,463
349.4740710032456,409
349.4740710032456,406
374.76856146122446,454
374.76856146122446,411
382.8503470765091,447
382.8503470765091,410
383.8489016437398,396
383.8489016437398,403
381.59636976073847,342
381.59636976073847,376
402.093608843273,362
402.093608843273,383
369.4745620247953,380
369.4745620247953,449
353.42138499236563,407
353.42138499236563,343
344.3264766994317,386
344.3264766994317,445
363.5457117576329,353
363.5457117576329,416
339.8417152856963,346
339.8417152856963,286
362.695673829342,372
362.695673829342,361
354.67957549690544,433
354.67957549690544,347
339.03345566808616,342
339.03345566808616,442
331.11309517084203,336
331.11309517084203,398
331.41633305754783,307
331.41633305754783,382
321.2799249458047,324
321.2799249458047,343
346.26529033387175,411
346.26529033387175,394
363.873897636968,365
363.873897636968,398
374.33242679827583,378
374.33242679827583,326
355.83530968321946,455
355.83530968321946,361
360.6539512322388,344
360.6539512322388,336
358.573359733609,359
358.573359733609,386
367.8789183335608,365
367.8789183335608,291
,76
368.8826056696892,371
364.1166573528406,384
364.1166573528406,364
332.5552871733781,356
332.5552871733781,338
342.20197830725647,369
342.20197830725647,362
351.23809795652124,325
351.23809795652124,472
343.7223398629446,361
343.7223398629446,389
346.3993285471529,371
346.3993285471529,321
332.33798319737423,413
332.33798319737423,333
340.0300025379759,378
340.0300025379759,406
356.3315138151781,399
356.3315138151781,339
388.2810128469054,384
388.2810128469054,389
357.780103013146,354
357.780103013146,318
357.41154088110005,374
357.41154088110005,386
343.21569200533656,325
343.21569200533656,362
349.2021591337488,351
349.2021591337488,349
350.2787446226149,356
350.2787446226149,330
366.7172328731802,421
366.7172328731802,322
377.10571154451895,442
377.10571154451895,347
370.18124420911926,395
370.18124420911926,423
362.6101637449236,323
362.6101637449236,445
378.3898272990256,366
378.3898272990256,443
371.2302953636439,450
371.2302953636439,375
387.75105782352136,361
387.75105782352136,368
348.8051042263749,364
348.8051042263749,349
380.62293166852544,404
380.62293166852544,396
360.5871173859716,412
360.5871173859716,378
343.5898778767303,332
343.5898778767303,389
350.7666794872891,335
350.7666794872891,319
337.62156608333163,432
337.62156608333163,339
357.0893504379138,386
357.0893504379138,351
351.40019475449856,373
,92
359.85629367189307,361
359.85629367189307,369
345.16461809895816,312
345.16461809895816,371
349.192989045779,306
349.192989045779,353
356.0483564989315,400
356.0483564989315,373
355.2469495907925,429
355.2469495907925,308
381.5966842878855,417
381.5966842878855,357
379.7353115319826,413
379.7353115319826,368
373.1232127008397,384
373.1232127008397,315
338.9648300824948,409
338.9648300824948,386
355.4568883070839,430
355.4568883070839,349
376.6227663855119,422
376.6227663855119,304
358.3645985152496,334
358.3645985152496,405
356.6603348052456,472
356.6603348052456,423
313.4479773731833,394
313.4479773731833,378
318.5940440059386,337
318.5940440059386,310
308.64140757365993,364
308.64140757365993,354
336.53802335847064,310
336.53802335847064,368
346.7215095345468,411
346.7215095345468,350
352.5300009256967,373
352.5300009256967,353
350.5176634658993,366
350.5176634658993,406
371.4033207854822,339
371.4033207854822,429
348.11751325984096,350
348.11751325984096,423
353.90523439806225,385
353.90523439806225,355
366.9072328850064,436
366.9072328850064,435
361.8219254732746,306
361.8219254732746,386
360.65864101126857,342
360.65864101126857,420
349.1131243966473,362
349.1131243966473,346
350.7423997396884,324
350.7423997396884,357
367.4072095674765,400
367.4072095674765,466
334.722774614489,428
334.722774614489,357
346.3523959720467,415
346.3523959720467,349
345.8247439426204,342
345.8247439426204,349
353.3198624334617,412
353.3198624334617,375
384.7700391126926,473
384.7700391126926,378
367.2482574930884,344
367.2482574930884,412
387.5776988882951,458
387.5776988882951,469
391.9566920163194,408
391.9566920163194,400
378.1402488647879,423
378.1402488647879,328
372.1404019608543,407
372.1404019608543,350
370.6026335919914,428
370.6026335919914,371
354.7878521623969,371
354.7878521623969,348
368.71080938098766,328
368.71080938098766,410
357.1294137738765,393
357.1294137738765,392
361.11547911975833,336
361.11547911975833,410
329.683083309445,285
329.683083309445,352
334.00721516547264,339
334.00721516547264,357
357.1951279096857,333
357.1951279096857,398
343.96074543587133,399
343.96074543587133,372
359.25506593817465,418
359.25506593817465,321
354.334363678154,384
354.334363678154,358
374.3847773340635,429
374.3847773340635,367
388.4769310972225,441
388.4769310972225,396
379.3682466690994,332
379.3682466690994,384
371.976528239137,421
371.976528239137,345
369.160215062044,443
369.160215062044,386
366.8738224499706,339
366.8738224499706,366
383.97710772499806,369
383.97710772499806,371
412.2768171395216,411
412.2768171395216,422
368.90171375457936,463
368.90171375457936,325
351.8419019895294,295
351.8419019895294,398
379.2335273425265,419
379.2335273425265,411
355.39755615773595,366
355.39755615773595,429
340.08317092566216,410
340.08317092566216,265
384.78677857265706,381
384.78677857265706,436
371.3437175582085,369
371.3437175582085,389
365.0339420774389,411
365.0339420774389,426
358.04857579468387,379
358.04857579468387,331
370.9582386083246,384
370.9582386083246,339
351.7462196841307,376
351.7462196841307,373
385.8022943196507,344
385.8022943196507,335
387.5599152446792,409
387.5599152446792,326
376.41573697914447,411
376.41573697914447,420
363.3947593280722,380
363.3947593280722,329
366.8333828771773,396
,100
382.6380417849609,337
382.6380417849609,424
414.19210443695454,424
414.19210443695454,433
413.3886424621569,465
413.3886424621569,467
405.598525548582,401
405.598525548582,431
387.2052000431464,420
387.2052000431464,380
395.8999861535384,399
395.8999861535384,426
376.6131948057743,404
376.6131948057743,404
377.1937413236852,401
377.1937413236852,396
390.1157129349095,455
390.1157129349095,380
388.1673566171249,380
388.1673566171249,419
368.1706507627201,408
368.1706507627201,460
345.2005382365021,385
345.2005382365021,404
364.2789737742048,410
364.2789737742048,433
368.3647043798689,392
368.3647043798689,464
382.387265735963,368
382.387265735963,468
376.36641856011016,417
376.36641856011016,362
366.8432558165043,399
366.8432558165043,346
383.6340632010245,360
383.6340632010245,376
391.21418864853456,430
391.21418864853456,425
348.4709480379889,391
348.4709480379889,438
335.99977327679443,345
335.99977327679443,354
354.5476977093433,334
354.5476977093433,453
360.94481079029225,486
360.94481079029225,394
362.3663776697786,318
362.3663776697786,387
378.2901221023375,403
378.2901221023375,404
404.17466044100286,445
404.17466044100286,418
371.46188825498353,340
371.46188825498353,374
369.6135937799705,354
369.6135937799705,356
369.3706053650324,315
369.3706053650324,326
372.75832719951256,397
372.75832719951256,399
353.06726805889315,378
353.06726805889315,402
368.63683544357593,365
368.63683544357593,325
370.0097178925407,430
370.0097178925407,376
400.7781448311547,380
400.7781448311547,459
391.4000188468696,388
391.4000188468696,393
370.4798483884829,449
370.4798483884829,365
348.1193020828616,322
348.1193020828616,358
357.97610336810936,372
357.97610336810936,386
353.17783368461494,349
353.17783368461494,363
355.7172634250565,343
355.7172634250565,369
368.5756845741474,332
368.5756845741474,336
373.3942123367347,446
373.3942123367347,321
375.2355318390772,341
375.2355318390772,463
394.1804147153369,482
394.1804147153369,450
388.9370236192142,446
388.9370236192142,352
420.9469443744844,434
420.9469443744844,429
398.7184501098751,363
398.7184501098751,366
379.1294389167065,403
379.1294389167065,395
353.0306541775857,378
353.0306541775857,384
342.77074758700576,282
342.77074758700576,369
371.00722875058807,437
,78
381.3058381854764,328
381.3058381854764,403
375.4242649899172,376
375.4242649899172,356
370.51184171639807,388
370.51184171639807,444
358.1557808750529,443
358.1557808750529,378
362.8448272937485,396
362.8448272937485,336
369.5856930841389,404
369.5856930841389,379
340.88697346292446,366
340.88697346292446,289
367.7292456178064,399
367.7292456178064,347
339.91225016241856,393
339.91225016241856,383
361.5154843303962,350
361.5154843303962,379
366.6403265381672,405
366.6403265381672,420
374.3026843584713,376
374.3026843584713,358
364.07359526539466,335
364.07359526539466,417
394.1370100283645,355
394.1370100283645,409
394.58620857609526,367
394.58620857609526,374
393.6189163288514,466
393.6189163288514,515
380.9682219980568,382
380.9682219980568,413
376.24629725704375,355
376.24629725704375,334
388.34780031925465,419
388.34780031925465,360
400.6955951229252,390
400.6955951229252,392
408.3858874062967,444
408.3858874062967,500
390.5807007728857,378
390.5807007728857,384
383.2725154690608,405
383.2725154690608,398
383.7821587954746,346
383.7821587954746,364
375.1920912568,398
375.1920912568,372
364.2327989917008,365
364.2327989917008,328
371.9369906558712,417
371.9369906558712,456
380.43998892255854,373
380.43998892255854,461
385.4951355182443,346
385.4951355182443,419
379.0820098989253,483
379.0820098989253,396
367.1857686603144,400
367.1857686603144,352
378.6450704261736,369
378.6450704261736,391
382.9485171783834,380
382.9485171783834,400
365.3473645305546,371
365.3473645305546,398
384.6126981537187,434
384.6126981537187,453
391.4581143806968,382
391.4581143806968,399
382.90308337971226,371
382.90308337971226,312
360.4876351487636,373
360.4876351487636,377
349.9291292681472,379
349.9291292681472,416
369.4263981326405,358
369.4263981326405,372
364.8241475192696,408
364.8241475192696,324
366.3406765715511,464
366.3406765715511,423
354.3247574620867,337
354.3247574620867,362
377.6465571036437,452
377.6465571036437,471
348.6292205441062,301
348.6292205441062,381
361.82980161657633,390
361.82980161657633,347
374.5205122307723,356
374.5205122307723,372
384.76438972776816,387
384.76438972776816,441
387.9884714765384,472
387.9884714765384,460
364.1211128036076,336
364.1211128036076,328
364.3403382861198,368
364.3403382861198,335
359.51664597768297,391
359.51664597768297,382
350.73862262866896,266
350.73862262866896,401
337.5741578732614,347
337.5741578732614,405
364.6219735667455,326
364.6219735667455,321
388.7082151497523,479
388.7082151497523,426
374.5334297892856,437
374.5334297892856,440
387.5630833476509,374
387.5630833476509,414
390.6755362200993,450
390.6755362200993,464
370.66661633004605,404
370.66661633004605,370
372.55499429738586,421
372.55499429738586,423
375.8867515985197,430
375.8867515985197,394
388.0636572431173,430
388.0636572431173,433
384.757427391925,456
384.757427391925,451
355.3617426375829,295
355.3617426375829,439
394.3179680742292,426
394.3179680742292,400
392.21468641352266,433
392.21468641352266,421
370.4614087293346,314
370.4614087293346,349
351.48454648689386,373
351.48454648689386,413
352.0307725166157,451
352.0307725166157,376
360.16440307727424,441
360.16440307727424,415
359.34894459806105,389
359.34894459806105,302
362.0461494679389,412
362.0461494679389,324
355.2786610390617,372
355.2786610390617,347
375.5658527680723,384
375.5658527680723,416
361.6980334591912,440
361.6980334591912,375
378.6197708592562,325
378.6197708592562,366
389.2261954181361,455
389.2261954181361,400
361.8384089880415,445
361.8384089880415,350
363.6603738168526,326
363.6603738168526,433
385.3428628791176,397
385.3428628791176,428
384.9588143779488,402
384.9588143779488,438
395.4405275202138,376
395.4405275202138,452
403.9885608785287,399
403.9885608785287,444
375.1494674556637,428
375.1494674556637,401
371.1366365553404,449
371.1366365553404,415
380.0596176665422,436
380.0596176665422,392
375.9727317839216,392
375.9727317839216,390
383.1830571093144,455
383.1830571093144,406
403.8143240726654,401
403.8143240726654,483
389.1661176586671,366
389.1661176586671,381
388.1590192731881,383
388.1590192731881,442
382.5071822760875,457
382.5071822760875,390
350.76812895976144,475
350.76812895976144,460
353.21306736274323,363
353.21306736274323,302
363.8333089593518,378
363.8333089593518,427
365.47812104182174,367
365.47812104182174,368
385.1521540375811,400
385.1521540375811,395
399.3220725876519,499
399.3220725876519,420
379.8254700357113,406
379.8254700357113,368
396.5394119524191,471
396.5394119524191,349
381.0567099583093,357
381.0567099583093,452
385.7713294329567,416
385.7713294329567,370
377.69313888281175,358
377.69313888281175,365
359.4147987434529,405
359.4147987434529,365
358.7960251296031,343
358.7960251296031,327
345.4956059108132,363
345.4956059108132,389
375.8180753997256,403
375.8180753997256,426
399.285259462289,451
399.285259462289,399
404.31453086733626,447
404.31453086733626,401
388.638776935381,426
388.638776935381,466
396.0134694055917,398
396.0134694055917,359
359.9481753143628,360
359.9481753143628,400
386.7071226051386,454
,108
412.53758265554063,480
412.53758265554063,386
407.7037524087633,516
407.7037524087633,469
387.7112771228983,418
387.7112771228983,415
397.9134803496919,482
397.9134803496919,377
391.3885698554398,415
391.3885698554398,418
371.7035223730856,439
371.7035223730856,322
357.1447878106683,431
357.1447878106683,434
366.8178341330489,422
366.8178341330489,379
375.52013621343343,431
375.52013621343343,410
340.8860508864136,390
340.8860508864136,370
405.9709456055691,440
405.9709456055691,403
388.233824988194,421
388.233824988194,436
405.5271725467956,364
405.5271725467956,439
395.1515799008345,407
395.1515799008345,390
408.6458475516502,518
408.6458475516502,449
429.6703785756201,399
429.6703785756201,453
398.7643206696141,391
398.7643206696141,482
386.4085487109771,393
386.4085487109771,425
394.3490932462866,469
394.3490932462866,412
404.1350699885458,506
404.1350699885458,353
397.6340579018389,400
397.6340579018389,386
388.72165625751126,382
388.72165625751126,441
365.7651683246454,390
365.7651683246454,412
376.6612496894624,418
376.6612496894624,368
365.39096350557867,267
365.39096350557867,415
375.2784035848745,374
375.2784035848745,396
398.41677593825153,448
398.41677593825153,374
397.6094370149002,360
397.6094370149002,418
396.7200508087731,441
396.7200508087731,469
367.8174747668703,419
367.8174747668703,436
383.87466401131167,428
383.87466401131167,328
376.7095848699946,423
376.7095848699946,363
352.0279630870258,403
352.0279630870258,338
388.76349082755456,442
388.76349082755456,341
,49
383.5073990472979,374
385.3444898719172,399
385.3444898719172,424
392.7926985307881,339
392.7926985307881,439
408.3594602846402,493
408.3594602846402,407
385.9857637158327,423
385.9857637158327,440
408.03796392667823,420
