Speed_RPM,RUL_seconds
1500.0,350
1500.0,385
1519.096226480032,417
1519.096226480032,367
1615.409248474748,300
1615.409248474748,389
1372.3038165898545,388
1372.3038165898545,299
1380.6310235846904,403
1380.6310235846904,336
1531.762038314814,369
1531.762038314814,335
1733.3801881756708,430
,404
1570.2525678706932,382
1570.2525678706932,383
1605.427447822331,345
1605.427447822331,374
1362.0239044160376,369
1362.0239044160376,484
1406.6483054173464,338
,298
1420.563667566676,327
1420.563667566676,398
1408.8931946579394,348
1408.8931946579394,335
1447.3182402347877,320
1447.3182402347877,395
1430.3908466262817,367
1430.3908466262817,307
1551.7456505340515,361
1551.7456505340515,301
1345.1336287271276,397
1345.1336287271276,406
1583.75002019551,418
1583.75002019551,384
1452.2177203181857,343
1452.2177203181857,347
1644.334080308876,350
,364
1743.6824348320188,365
1743.6824348320188,364
1843.91950355906,377
1843.91950355906,357
1727.3561534893158,361
1727.3561534893158,279
1600.0098653983512,409
1600.0098653983512,449
1532.5916344223522,409
1532.5916344223522,405
1622.5813706842775,394
1622.5813706842775,425
1552.8958154045415,371
1552.8958154045415,404
1514.2663944312062,430
1514.2663944312062,412
1544.8624678315368,462
1544.8624678315368,366
1347.0528771886025,368
1347.0528771886025,331
1221.6920408265942,378
1221.6920408265942,354
1409.5078943562833,321
1409.5078943562833,413
1457.875844776784,293
1457.875844776784,418
1537.588065966729,311
1537.588065966729,371
1606.652296382446,350
1606.652296382446,394
1490.0422816780224,341
1490.0422816780224,362
1464.528634578125,362
1464.528634578125,391
1567.0385525447716,328
1567.0385525447716,281
1455.473729546057,346
1455.473729546057,463
1546.2649206964538,409
1546.2649206964538,406
1498.559602094119,454
1498.559602094119,411
1445.2026115370254,447
1445.2026115370254,410
1421.6330121491328,396
1421.6330121491328,403
1472.9326486973926,342
1472.9326486973926,376
1455.7691905648444,362
1455.7691905648444,383
1412.7550542908343,380
1412.7550542908343,449
1586.5512392774888,407
1586.5512392774888,343
1622.959384863124,386
1622.959384863124,445
1524.3422590731616,353
1524.3422590731616,416
1566.5557837959225,346
1566.5557837959225,286
1619.7209429372435,372
1619.7209429372435,361
1561.2698827700897,433
1561.2698827700897,347
1490.1503399736532,342
1490.1503399736532,442
1399.8202036878608,336
1399.8202036878608,398
1476.741630887754,307
1476.741630887754,382
1448.1836159377183,324
1448.1836159377183,343
1525.3280179219244,411
1525.3280179219244,394
1492.6170661199883,365
1492.6170661199883,398
1501.9291024719723,378
1501.9291024719723,326
1642.0919786741413,455
1642.0919786741413,361
1661.1949797204804,344
1661.1949797204804,336
1677.6791295228925,359
1677.6791295228925,386
1652.0430531721788,365
1652.0430531721788,291
,76
1630.5688328325934,371
1745.9084558593413,384
1745.9084558593413,364
1713.9018167680492,356
1713.9018167680492,338
1650.4510064072658,369
1650.4510064072658,362
1624.4325885081505,325
1624.4325885081505,472
1663.2554967977849,361
1663.2554967977849,389
1616.8711363339617,371
1616.8711363339617,321
1542.0311676956564,413
1542.0311676956564,333
1707.191987488048,378
1707.191987488048,406
1606.7471112185362,399
1606.7471112185362,339
1635.4038938914907,384
1635.4038938914907,389
1501.4761026111134,354
1501.4761026111134,318
1549.5990177231597,374
1549.5990177231597,386
1607.1670702774138,325
1607.1670702774138,362
1592.076440782925,351
1592.076440782925,349
1444.9096312725037,356
1444.9096312725037,330
1513.954613223223,421
1513.954613223223,322
1621.0891161559834,442
1621.0891161559834,347
1641.872346928655,395
1641.872346928655,423
1422.1714211075275,323
1422.1714211075275,445
1531.9878806168497,366
1531.9878806168497,443
1451.0088052540807,450
1451.0088052540807,375
1494.5789325660016,361
1494.5789325660016,368
1621.1106613920288,364
1621.1106613920288,349
1628.0042959521393,404
1628.0042959521393,396
1575.9441946528011,412
1575.9441946528011,378
1476.2461226457244,332
1476.2461226457244,389
1610.4139474233552,335
1610.4139474233552,319
1636.959112169092,432
1636.959112169092,339
1456.1328280845444,386
1456.1328280845444,351
1549.9220999298582,373
1549.9220999298582,92
1408.9262898395916,361
1408.9262898395916,369
1283.3784142089094,312
1283.3784142089094,371
1477.351074739669,306
1477.351074739669,353
1554.0604593252244,400
1554.0604593252244,373
1533.2055497182268,429
1533.2055497182268,308
1445.7351604182013,417
1445.7351604182013,357
1450.5895614596204,413
1450.5895614596204,368
1506.2050748635256,384
1506.2050748635256,315
1554.5457955885588,409
1554.5457955885588,386
1720.0347191889878,430
1720.0347191889878,349
1766.9984298546233,422
1766.9984298546233,304
1626.622351973476,334
1626.622351973476,405
1606.7389916238226,472
1606.7389916238226,423
1634.0623938061992,394
1634.0623938061992,378
1738.1428534310976,337
1738.1428534310976,310
1579.6466672678416,364
1579.6466672678416,354
1586.51039430867,310
1586.51039430867,368
1689.6372320652345,411
1689.6372320652345,350
1649.517467955871,373
1649.517467955871,353
1419.439338469335,366
1419.439338469335,406
1430.6045683265872,339
1430.6045683265872,429
1691.059992572821,350
1691.059992572821,423
1515.6537842952885,385
1515.6537842952885,355
1597.1385407046132,436
1597.1385407046132,435
1601.0925991977476,306
1601.0925991977476,386
1625.0265770669223,342
1625.0265770669223,420
1727.4479114435735,362
1727.4479114435735,346
1786.6954941545578,324
1786.6954941545578,357
1770.564265340797,400
,466
1870.1898166658525,428
1870.1898166658525,357
1743.9037673785824,415
1743.9037673785824,349
1719.298548733604,342
1719.298548733604,349
1684.5189279063743,412
1684.5189279063743,375
1473.313663500362,473
1473.313663500362,378
1698.5587568287172,344
1698.5587568287172,412
1416.6076402542867,458
1416.6076402542867,469
1480.022925614252,408
1480.022925614252,400
1438.0753361676748,423
1438.0753361676748,328
1615.9445741892118,407
1615.9445741892118,350
1608.9892528194591,428
1608.9892528194591,371
1655.154294660143,371
1655.154294660143,348
1594.43607834545,328
1594.43607834545,410
1414.4233084546588,393
1414.4233084546588,392
1570.4567748175552,336
1570.4567748175552,410
1457.0122627315366,285
1457.0122627315366,352
1372.7444413085605,339
1372.7444413085605,357
1466.5185978870566,333
1466.5185978870566,398
1683.2756388260088,399
1683.2756388260088,372
1621.6970175462166,418
1621.6970175462166,321
1575.820367887237,384
1575.820367887237,358
1538.2429713409576,429
1538.2429713409576,367
1596.2529589410622,441
1596.2529589410622,396
1468.3213440183442,332
1468.3213440183442,384
1549.3773335033195,421
1549.3773335033195,345
1487.8977095160012,443
1487.8977095160012,386
1474.6744178856893,339
1474.6744178856893,366
1555.1385851494863,369
1555.1385851494863,371
1654.9825509390853,411
1654.9825509390853,422
1655.9984465895675,463
1655.9984465895675,325
1543.0807977273382,295
1543.0807977273382,398
1570.1364676983333,419
1570.1364676983333,411
1468.6735996094385,366
1468.6735996094385,429
1453.3590472022631,410
1453.3590472022631,265
1607.913719978919,381
1607.913719978919,436
1584.2476242152643,369
1584.2476242152643,389
1455.373781372327,411
1455.373781372327,426
1622.1467928908698,379
1622.1467928908698,331
1651.2121666089677,384
1651.2121666089677,339
1614.4624945896849,376
1614.4624945896849,373
1557.6952339685638,344
1557.6952339685638,335
1598.006215107874,409
1598.006215107874,326
1625.881141663158,411
1625.881141663158,420
1599.3908291908222,380
1599.3908291908222,329
1641.1762160939177,396
1641.1762160939177,100
1646.337386631807,337
1646.337386631807,424
1759.1036026749807,424
1759.1036026749807,433
1601.2161575408527,465
1601.2161575408527,467
1742.5128723124085,401
1742.5128723124085,431
1492.0135079360564,420
1492.0135079360564,380
1680.5924033748308,399
1680.5924033748308,426
1571.6336076468035,404
1571.6336076468035,404
1605.3062160169295,401
1605.3062160169295,396
1619.5091818352255,455
1619.5091818352255,380
1769.1330209604207,380
1769.1330209604207,419
1735.5191661862304,408
1735.5191661862304,460
1662.3444224564694,385
1662.3444224564694,404
1630.9080626380703,410
1630.9080626380703,433
1660.2532338204744,392
1660.2532338204744,464
1649.2488806727797,368
1649.2488806727797,468
1674.0798200309268,417
1674.0798200309268,362
1668.424871059211,399
1668.424871059211,346
1569.4456515146671,360
1569.4456515146671,376
1432.6647347715607,430
1432.6647347715607,425
1568.327156342368,391
1568.327156342368,438
1516.5510963077618,345
1516.5510963077618,354
1577.2699358165685,334
1577.2699358165685,453
1558.5397413604528,486
1558.5397413604528,394
1668.724283326614,318
1668.724283326614,387
1515.4747248503377,403
1515.4747248503377,404
1455.4713946142133,445
1455.4713946142133,418
1445.286673445666,340
1445.286673445666,374
1537.16498852951,354
1537.16498852951,356
1513.3172377946928,315
1513.3172377946928,326
1601.1433308727292,397
1601.1433308727292,399
1668.5701735810912,378
1668.5701735810912,402
1474.0934597345704,365
1474.0934597345704,325
1346.27271143581,430
1346.27271143581,376
1406.0772728234676,380
1406.0772728234676,459
1485.6151477687365,388
1485.6151477687365,393
1588.855068275491,449
1588.855068275491,365
1717.1422664082706,322
1717.1422664082706,358
1696.2225038647773,372
1696.2225038647773,386
1708.7503632980968,349
1708.7503632980968,363
1704.5798680801472,343
1704.5798680801472,369
1788.7791005154213,332
1788.7791005154213,336
1665.057842696109,446
1665.057842696109,321
1730.98026720153,341
1730.98026720153,463
1869.357392427789,482
1869.357392427789,450
1814.5378868284868,446
1814.5378868284868,352
1807.566554468252,434
1807.566554468252,429
1528.7535291038273,363
1528.7535291038273,366
1572.0858534187705,403
1572.0858534187705,395
1546.8885503581175,378
1546.8885503581175,384
1462.1005121765863,282
1462.1005121765863,369
1562.2009060102316,437
1562.2009060102316,78
1571.4516041895051,328
1571.4516041895051,403
1553.8164453193633,376
1553.8164453193633,356
1469.8164029261911,388
1469.8164029261911,444
1549.2305867052764,443
1549.2305867052764,378
1622.7380662863538,396
1622.7380662863538,336
1636.16171083151,404
1636.16171083151,379
1769.36587237863,366
1769.36587237863,289
1697.0001378560305,399
1697.0001378560305,347
1648.4810582155408,393
1648.4810582155408,383
1570.752068184917,350
1570.752068184917,379
1536.5226605927244,405
1536.5226605927244,420
1429.0773533603042,376
1429.0773533603042,358
1490.3632833974175,335
1490.3632833974175,417
1464.607565928373,355
1464.607565928373,409
1526.5078218747617,367
1526.5078218747617,374
1412.5773683279806,466
1412.5773683279806,515
1418.9739532126844,382
1418.9739532126844,413
1559.7906996562388,355
1559.7906996562388,334
1590.5621827081172,419
1590.5621827081172,360
1652.3388519613195,390
1652.3388519613195,392
1528.388061061428,444
1528.388061061428,500
1415.343005553717,378
1415.343005553717,384
1444.4512001349858,405
1444.4512001349858,398
1537.004731406423,346
1537.004731406423,364
1625.597861727538,398
1625.597861727538,372
1703.5116433798194,365
1703.5116433798194,328
1824.242075481567,417
1824.242075481567,456
1833.1889537341997,373
1833.1889537341997,461
1661.2650442953957,346
1661.2650442953957,419
1614.2221198993411,483
1614.2221198993411,396
1569.1950138941872,400
1569.1950138941872,352
1649.9335403550158,369
1649.9335403550158,391
1698.9508568982096,380
1698.9508568982096,400
1583.1708858685513,371
1583.1708858685513,398
1717.9417628997012,434
1717.9417628997012,453
1690.81756273912,382
1690.81756273912,399
1622.2218543777444,371
1622.2218543777444,312
1548.808324380395,373
1548.808324380395,377
1674.2275922090923,379
1674.2275922090923,416
1444.4392098330725,358
1444.4392098330725,372
1451.4982911038169,408
1451.4982911038169,324
1404.5099373006562,464
1404.5099373006562,423
1527.0231636611975,337
1527.0231636611975,362
1588.182290749598,452
1588.182290749598,471
1589.9417319852969,301
1589.9417319852969,381
1569.8299588265131,390
1569.8299588265131,347
1566.469019617413,356
1566.469019617413,372
1709.4548323086212,387
1709.4548323086212,441
1482.6688393609877,472
1482.6688393609877,460
1671.5460463919842,336
1671.5460463919842,328
1586.790267519807,368
1586.790267519807,335
1516.095022858784,391
1516.095022858784,382
1447.1888826489771,266
1447.1888826489771,401
1473.7812845488452,347
1473.7812845488452,405
1563.2769971453947,326
1563.2769971453947,321
1691.7086662197107,479
1691.7086662197107,426
1528.6531327560613,437
1528.6531327560613,440
1511.6930140610589,374
1511.6930140610589,414
1601.5698079445738,450
1601.5698079445738,464
1655.856956062329,404
1655.856956062329,370
1607.2682096291276,421
1607.2682096291276,423
1582.28485693255,430
1582.28485693255,394
1763.940303916147,430
1763.940303916147,433
1662.3253277763188,456
1662.3253277763188,451
1739.1823413750835,295
1739.1823413750835,439
1838.3361995508396,426
1838.3361995508396,400
1972.378269878545,433
1972.378269878545,421
1929.462854556844,314
1929.462854556844,349
1927.836833540528,373
1927.836833540528,413
2018.6424171492315,451
2018.6424171492315,376
1859.5298277702425,441
1859.5298277702425,415
1672.8192046121253,389
,302
1743.395650618435,412
1743.395650618435,324
1711.1013355701443,372
1711.1013355701443,347
1583.8686383940428,384
1583.8686383940428,416
1644.5205617898514,440
1644.5205617898514,375
1628.5762467917202,325
1628.5762467917202,366
1653.5409636186007,455
1653.5409636186007,400
1748.3816707968815,445
1748.3816707968815,350
1814.7941842658088,326
1814.7941842658088,433
1835.0696529638155,397
1835.0696529638155,428
1880.4150374734656,402
1880.4150374734656,438
1747.8219791532615,376
1747.8219791532615,452
1653.449763790395,399
1653.449763790395,444
1673.5373096738788,428
1673.5373096738788,401
1698.7219272701711,449
1698.7219272701711,415
1574.8394422508193,436
1574.8394422508193,392
1635.6909785208406,392
1635.6909785208406,390
1576.3246075535906,455
1576.3246075535906,406
1560.3397960880743,401
1560.3397960880743,483
1655.1839719787292,366
1655.1839719787292,381
1698.532395779358,383
1698.532395779358,442
1708.1466403140237,457
1708.1466403140237,390
1664.0931991166656,475
1664.0931991166656,460
1627.7355717518924,363
1627.7355717518924,302
1780.7622340040234,378
1780.7622340040234,427
,367
1692.319817920853,368
1667.281280977177,400
1667.281280977177,395
1561.5640351912614,499
1561.5640351912614,420
1440.3967991006332,406
1440.3967991006332,368
1775.6892785809705,471
1775.6892785809705,349
1684.8041423653904,357
1684.8041423653904,452
1652.1653952633562,416
1652.1653952633562,370
1607.3129276048255,358
1607.3129276048255,365
1685.091450923606,405
1685.091450923606,365
1628.6433509229553,343
1628.6433509229553,327
1774.8080869907944,363
1774.8080869907944,389
1604.8948754979792,403
1604.8948754979792,426
1565.7343490940518,451
1565.7343490940518,399
1538.7230544398683,447
1538.7230544398683,401
1543.738395132836,426
1543.738395132836,466
1600.012012051799,398
1600.012012051799,359
1489.8916643300215,360
1489.8916643300215,400
1736.3398049771904,454
1736.3398049771904,108
1708.4738396836256,480
1708.4738396836256,386
1843.136650293284,516
1843.136650293284,469
2047.0620758383773,418
2047.0620758383773,415
1933.403722119172,482
1933.403722119172,377
1931.9171024051868,415
1931.9171024051868,418
1939.20967231763,439
1939.20967231763,322
1710.2042996955458,431
1710.2042996955458,434
1805.4984155659608,422
1805.4984155659608,379
1561.965628942207,431
1561.965628942207,410
1605.1886544669849,390
1605.1886544669849,370
1493.4463703059344,440
1493.4463703059344,403
1522.499857959245,421
1522.499857959245,436
1544.022072991468,364
1544.022072991468,439
1604.449401680778,407
1604.449401680778,390
1605.3330596909448,518
1605.3330596909448,449
1731.3725522756165,399
1731.3725522756165,453
1788.5105763873075,391
1788.5105763873075,482
1714.2274941860844,393
1714.2274941860844,425
1762.0291219064595,469
1762.0291219064595,412
1795.778421537219,506
1795.778421537219,353
1852.7335945035925,400
1852.7335945035925,386
1637.39414890503,382
1637.39414890503,441
1617.9745374201098,390
1617.9745374201098,412
1599.2747265498429,418
1599.2747265498429,368
1510.1912429063643,267
1510.1912429063643,415
1642.5432046886926,374
1642.5432046886926,396
1624.5157240040717,448
1624.5157240040717,374
1588.6341674244445,360
1588.6341674244445,418
1699.5266503318717,441
1699.5266503318717,469
1599.6977677696393,419
1599.6977677696393,436
1654.5898933316864,428
1654.5898933316864,328
1738.568512785052,423
1738.568512785052,363
1638.4810460500216,403
1638.4810460500216,338
1698.6407778885994,442
1698.6407778885994,341
1792.1035501327012,49
1792.1035501327012,374
1698.0414021741587,399
1698.0414021741587,424
1659.0459765029598,339
1659.0459765029598,439
1718.932410444411,493
1718.932410444411,407
1787.3662608691593,423
1787.3662608691593,440
1633.7931512840582,420
1633.7931512840582,484
,364
1659.2718196728626,396
1642.9609925058026,366
1642.9609925058026,391
1745.5557399724653,414
1745.5557399724653,431
1637.6712759901911,460
1637.6712759901911,398
1752.2122045126905,419
1752.2122045126905,445
1722.3767766261146,460
,424
1843.8086664397556,321
1843.8086664397556,316
1792.3561540071382,375
1792.3561540071382,449
1800.2077173928042,471
1800.2077173928042,489
1740.0530708726887,388
1740.0530708726887,478
1684.6349451427716,448
1684.6349451427716,356
1703.038084217418,357
1703.038084217418,452
1623.6373402765191,422
1623.6373402765191,451
1700.4667615340777,345
1700.4667615340777,361
1665.505060029382,378
1665.505060029382,383
1759.2491279487376,422
1759.2491279487376,408
1585.2673141121022,368
1585.2673141121022,388
1632.5826437371534,406
1632.5826437371534,441
1513.1129245550662,355
1513.1129245550662,400
1680.4723335446304,415
1680.4723335446304,398
1774.1485608638409,350
1774.1485608638409,427
1834.3401763178824,428
1834.3401763178824,407
1768.5494504931992,348
1768.5494504931992,427
1722.13670614055,436
1722.13670614055,427
1880.3775517508743,440
1880.3775517508743,387
1628.4245354959448,378
1628.4245354959448,457
1520.6799360048062,383
1520.6799360048062,386
1603.9016414310322,418
1603.9016414310322,438
1711.1627016438124,454
1711.1627016438124,411
1831.9846662729244,419
1831.9846662729244,393
1796.955510586009,384
1796.955510586009,381
,364
1723.4452868310043,411
1715.1813645196537,320
1715.1813645196537,442
1687.1195543990398,468
1687.1195543990398,376
1857.7397472939697,443
1857.7397472939697,426
1653.103689105224,405
1653.103689105224,473
1644.9400718962825,490
1644.9400718962825,410
1678.3043264373223,450
1678.3043264373223,359
1674.1645176082377,368
1674.1645176082377,433
1680.2207138442186,468
1680.2207138442186,348
1711.4224765448723,348
,407
1600.388589518917,431
1600.388589518917,415
1566.6143412204374,368
1566.6143412204374,467
1688.9854587690952,398
1688.9854587690952,340
1566.925862036506,414
1566.925862036506,454
1699.5981156342643,372
1699.5981156342643,497
1853.0735332825932,358
1853.0735332825932,413
1867.0505561140087,386
1867.0505561140087,384
1823.1114427835987,473
1823.1114427835987,459
1645.054620943212,434
1645.054620943212,418
1723.7998028668862,407
1723.7998028668862,455
1586.2133087040845,333
1586.2133087040845,459
1721.513922885707,422
1721.513922885707,408
1572.8383618332325,384
1572.8383618332325,466
1836.328262713357,393
1836.328262713357,431
1920.0087400795487,408
1920.0087400795487,398
1704.9610093274982,387
1704.9610093274982,431
1607.797202772746,377
1607.797202772746,454
1808.7209421898165,432
1808.7209421898165,465
,424
1754.8599923593667,464
1631.4746748313044,508
1631.4746748313044,462
,416
1592.5216690188065,391
1640.8875474801946,420
1640.8875474801946,477
1710.0450411655283,367
1710.0450411655283,453
1761.7714412970352,427
1761.7714412970352,468
1822.2345700532685,485
1822.2345700532685,393
1641.170275673859,403
1641.170275673859,388
1724.779211166408,426
1724.779211166408,403
1749.5345648747282,474
1749.5345648747282,359
1877.5101492471783,401
1877.5101492471783,387
1754.9012824138554,366
1754.9012824138554,392
1755.709554540446,422
1755.709554540446,392
1952.9074799908776,318
1952.9074799908776,427
1822.2129064424137,378
1822.2129064424137,384
1875.199435965272,425
1875.199435965272,487
1770.9038148489904,414
1770.9038148489904,359
1910.21478904514,393
1910.21478904514,329
1676.3429242675356,447
1676.3429242675356,392
1552.5843444666114,414
1552.5843444666114,441
1839.5623610075825,482
1839.5623610075825,534
1634.7755387972402,420
1634.7755387972402,446
1590.0972014363854,462
1590.0972014363854,507
1698.6231782995296,442
1698.6231782995296,322
1606.8797816852718,410
1606.8797816852718,369
1628.422019157641,519
1628.422019157641,364
1538.7283213292824,420
1538.7283213292824,453
1632.8279409372335,427
1632.8279409372335,458
1922.1139618452496,458
1922.1139618452496,390
1825.5636862110389,429
1825.5636862110389,494
1697.7499035212224,444
1697.7499035212224,455
1580.6810331468544,407
1580.6810331468544,423
1645.2122434037055,449
1645.2122434037055,402
1880.6801215356124,445
1880.6801215356124,448
1612.293024205292,436
1612.293024205292,419
1692.6032960478378,446
1692.6032960478378,413
1636.6508396517154,431
1636.6508396517154,419
1642.0408741783478,445
1642.0408741783478,428
1818.6080608541304,452
1818.6080608541304,469
1668.8046342228151,406
1668.8046342228151,407
1671.0904865434056,414
1671.0904865434056,362
1663.3398878644366,440
1663.3398878644366,360
1763.5615465823694,411
1763.5615465823694,366
1815.516535909463,414
1815.516535909463,400
1746.6933174544524,413
1746.6933174544524,349
1740.7193239494268,471
1740.7193239494268,410
1760.0843736943775,462
1760.0843736943775,411
1660.201540483355,348
,422
1942.5118164706628,406
1942.5118164706628,435
1697.0699225182116,366
1697.0699225182116,454
1725.874208597766,403
1725.874208597766,453
1771.0279302505653,483
1771.0279302505653,470
1887.0261761516672,395
1887.0261761516672,451
1781.586159289904,416
1781.586159289904,416
1593.8954369811918,431
1593.8954369811918,424
1699.320972767575,34
1699.320972767575,474
1603.2883119487988,359
1603.2883119487988,456
1721.414798928393,440
1721.414798928393,416
2042.033712765798,389
2042.033712765798,446
1880.0520688494933,414
1880.0520688494933,384
1844.64800820527,429
1844.64800820527,414
1989.2643092169296,418
1989.2643092169296,441
1724.606980422314,79
1724.606980422314,346
1821.9442408884172,409
1821.9442408884172,396
1509.2832890403647,447
1509.2832890403647,361
1617.346598124417,422
1617.346598124417,483
1585.162523933088,377
1585.162523933088,401
1636.8563218166205,355
1636.8563218166205,414
1689.1193884205989,436
1689.1193884205989,361
1658.315360060002,380
1658.315360060002,350
1661.6772759565692,433
1661.6772759565692,461
1667.7198148558657,490
1667.7198148558657,401
1866.068856205041,384
1866.068856205041,389
1783.4074890485078,459
1783.4074890485078,384
1749.1554875762856,405
1749.1554875762856,437
1666.5589870566089,563
1666.5589870566089,409
1674.754313369556,396
1674.754313369556,409
1467.8837057738792,461
1467.8837057738792,392
1649.3380614705234,475
1649.3380614705234,359
1616.1741339746543,365
1616.1741339746543,460
1494.3016058440733,395
1494.3016058440733,438
1692.979870921807,440
1692.979870921807,392
1645.3802652785462,445
1645.3802652785462,380
1792.241330993816,390
1792.241330993816,466
1760.3424326511708,410
1760.3424326511708,469
1901.505524959316,392
1901.505524959316,401
1750.7751299481974,441
1750.7751299481974,363
1767.717112763128,416
1767.717112763128,424
1878.1241660377857,461
1878.1241660377857,498
1823.4094709672056,476
1823.4094709672056,461
1867.523173783624,455
1867.523173783624,423
1828.9878721555976,405
1828.9878721555976,392
1890.8505459124945,426
1890.8505459124945,415
1833.9090676546,399
1833.9090676546,391
1892.3854544171847,474
1892.3854544171847,445
1865.8351075698424,391
1865.8351075698424,394
1956.819100707149,396
1956.819100707149,466
1830.754361038013,347
1830.754361038013,392
1734.9215170041512,466
1734.9215170041512,439
1815.730318772224,448
1815.730318772224,361
1855.721243484847,405
1855.721243484847,479
1879.1138289316125,406
1879.1138289316125,367
1924.6452176407447,385
1924.6452176407447,406
1751.63884915942,496
1751.63884915942,442
1845.4684394351832,403
1845.4684394351832,424
1831.8232536993355,441
1831.8232536993355,440
1666.890029978764,411
1666.890029978764,422
1851.4277231542349,394
1851.4277231542349,481
1679.7039442981202,386
1679.7039442981202,423
1769.2622846124073,384
1769.2622846124073,479
1808.402903528019,447
1808.402903528019,415
1906.7912286768697,396
1906.7912286768697,429
1772.0065101135704,491
1772.0065101135704,497
1718.7869307058077,459
1718.7869307058077,397
1656.2077895600614,399
1656.2077895600614,439
1673.5722025229045,486
1673.5722025229045,438
1571.988031942708,457
1571.988031942708,404
1748.2765804766889,399
1748.2765804766889,392
1789.310745839492,435
1789.310745839492,445
,439
1698.657554068467,495
1894.6608327168735,426
