pH_units,RUL_seconds
7.5,350
7.5,385
7.5,417
7.5,367
7.5,300
7.5,389
7.5,388
7.5,299
7.5,403
7.5,336
7.362396552540225,369
7.362396552540225,335
7.362396552540225,430
7.362396552540225,404
7.362396552540225,382
7.362396552540225,383
7.362396552540225,345
7.362396552540225,374
7.362396552540225,369
7.362396552540225,484
7.432652494512821,338
7.432652494512821,298
7.432652494512821,327
7.432652494512821,398
7.432652494512821,348
7.432652494512821,335
7.432652494512821,320
7.432652494512821,395
7.432652494512821,367
7.432652494512821,307
7.416098610514326,361
7.416098610514326,301
7.416098610514326,397
7.416098610514326,406
7.416098610514326,418
7.416098610514326,384
7.416098610514326,343
7.416098610514326,347
7.416098610514326,350
7.416098610514326,364
7.333306380025458,365
7.333306380025458,364
7.333306380025458,377
7.333306380025458,357
7.333306380025458,361
7.333306380025458,279
7.333306380025458,409
7.333306380025458,449
7.333306380025458,409
7.333306380025458,405
7.552210654194295,394
7.552210654194295,425
7.552210654194295,371
7.552210654194295,404
7.552210654194295,430
7.552210654194295,412
7.552210654194295,462
7.552210654194295,366
7.552210654194295,368
7.552210654194295,331
7.493094259544653,378
7.493094259544653,354
7.493094259544653,321
7.493094259544653,413
7.493094259544653,293
7.493094259544653,418
7.493094259544653,311
7.493094259544653,371
7.493094259544653,350
7.493094259544653,394
7.437611675005288,341
7.437611675005288,362
7.437611675005288,362
,391
7.437611675005288,328
7.437611675005288,281
7.437611675005288,346
7.437611675005288,463
7.437611675005288,409
7.437611675005288,406
7.577848013915912,454
7.577848013915912,411
7.577848013915912,447
7.577848013915912,410
7.577848013915912,396
7.577848013915912,403
7.577848013915912,342
7.577848013915912,376
7.577848013915912,362
7.577848013915912,383
7.437646335684266,380
7.437646335684266,449
7.437646335684266,407
7.437646335684266,343
7.437646335684266,386
7.437646335684266,445
7.437646335684266,353
7.437646335684266,416
7.437646335684266,346
7.437646335684266,286
7.3648885072897725,372
7.3648885072897725,361
7.3648885072897725,433
7.3648885072897725,347
7.3648885072897725,342
7.3648885072897725,442
7.3648885072897725,336
7.3648885072897725,398
7.3648885072897725,307
7.3648885072897725,382
7.460761975792733,324
7.460761975792733,343
7.460761975792733,411
7.460761975792733,394
7.460761975792733,365
7.460761975792733,398
7.460761975792733,378
7.460761975792733,326
7.460761975792733,455
7.460761975792733,361
7.576333686611756,344
7.576333686611756,336
7.576333686611756,359
7.576333686611756,386
7.576333686611756,365
7.576333686611756,291
7.576333686611756,76
7.576333686611756,371
7.576333686611756,384
7.576333686611756,364
7.620635319705149,356
7.620635319705149,338
7.620635319705149,369
7.620635319705149,362
7.620635319705149,325
7.620635319705149,472
7.620635319705149,361
7.620635319705149,389
7.620635319705149,371
7.620635319705149,321
7.551374703713648,413
7.551374703713648,333
7.551374703713648,378
7.551374703713648,406
7.551374703713648,399
7.551374703713648,339
7.551374703713648,384
7.551374703713648,389
7.551374703713648,354
7.551374703713648,318
7.458482472970437,374
7.458482472970437,386
7.458482472970437,325
7.458482472970437,362
7.458482472970437,351
7.458482472970437,349
7.458482472970437,356
7.458482472970437,330
7.458482472970437,421
7.458482472970437,322
7.647118721856629,442
7.647118721856629,347
7.647118721856629,395
7.647118721856629,423
7.647118721856629,323
7.647118721856629,445
7.647118721856629,366
7.647118721856629,443
7.647118721856629,450
7.647118721856629,375
7.897203788744406,361
7.897203788744406,368
7.897203788744406,364
7.897203788744406,349
7.897203788744406,404
7.897203788744406,396
7.897203788744406,412
7.897203788744406,378
7.897203788744406,332
7.897203788744406,389
7.814279346393262,335
7.814279346393262,319
7.814279346393262,432
7.814279346393262,339
7.814279346393262,386
7.814279346393262,351
7.814279346393262,373
7.814279346393262,92
7.814279346393262,361
7.814279346393262,369
7.696464687028968,312
7.696464687028968,371
7.696464687028968,306
7.696464687028968,353
7.696464687028968,400
7.696464687028968,373
7.696464687028968,429
7.696464687028968,308
7.696464687028968,417
7.696464687028968,357
7.69465741639062,413
7.69465741639062,368
7.69465741639062,384
7.69465741639062,315
7.69465741639062,409
7.69465741639062,386
7.69465741639062,430
7.69465741639062,349
7.69465741639062,422
7.69465741639062,304
7.592842723206213,334
7.592842723206213,405
7.592842723206213,472
7.592842723206213,423
7.592842723206213,394
7.592842723206213,378
7.592842723206213,337
7.592842723206213,310
7.592842723206213,364
7.592842723206213,354
7.592115718644373,310
7.592115718644373,368
7.592115718644373,411
7.592115718644373,350
7.592115718644373,373
7.592115718644373,353
7.592115718644373,366
,406
7.592115718644373,339
7.592115718644373,429
7.542712742366506,350
7.542712742366506,423
7.542712742366506,385
7.542712742366506,355
7.542712742366506,436
7.542712742366506,435
7.542712742366506,306
7.542712742366506,386
7.542712742366506,342
7.542712742366506,420
7.542038129122247,362
7.542038129122247,346
7.542038129122247,324
7.542038129122247,357
7.542038129122247,400
7.542038129122247,466
7.542038129122247,428
7.542038129122247,357
7.542038129122247,415
7.542038129122247,349
7.570111140535079,342
7.570111140535079,349
7.570111140535079,412
7.570111140535079,375
7.570111140535079,473
7.570111140535079,378
7.570111140535079,344
7.570111140535079,412
7.570111140535079,458
7.570111140535079,469
7.598668107703805,408
7.598668107703805,400
,423
7.598668107703805,328
7.598668107703805,407
7.598668107703805,350
7.598668107703805,428
7.598668107703805,371
7.598668107703805,371
7.598668107703805,348
7.563324662114756,328
7.563324662114756,410
7.563324662114756,393
7.563324662114756,392
7.563324662114756,336
7.563324662114756,410
7.563324662114756,285
7.563324662114756,352
7.563324662114756,339
7.563324662114756,357
7.726329834028765,333
7.726329834028765,398
7.726329834028765,399
7.726329834028765,372
7.726329834028765,418
7.726329834028765,321
7.726329834028765,384
7.726329834028765,358
7.726329834028765,429
7.726329834028765,367
7.641751105927045,441
7.641751105927045,396
7.641751105927045,332
7.641751105927045,384
7.641751105927045,421
7.641751105927045,345
7.641751105927045,443
7.641751105927045,386
7.641751105927045,339
7.641751105927045,366
7.676445292395124,369
7.676445292395124,371
7.676445292395124,411
7.676445292395124,422
7.676445292395124,463
7.676445292395124,325
7.676445292395124,295
7.676445292395124,398
7.676445292395124,419
7.676445292395124,411
7.731608113626959,366
7.731608113626959,429
7.731608113626959,410
7.731608113626959,265
7.731608113626959,381
7.731608113626959,436
7.731608113626959,369
7.731608113626959,389
7.731608113626959,411
7.731608113626959,426
7.782449377863529,379
7.782449377863529,331
7.782449377863529,384
7.782449377863529,339
7.782449377863529,376
7.782449377863529,373
7.782449377863529,344
7.782449377863529,335
7.782449377863529,409
7.782449377863529,326
7.565574174854211,411
7.565574174854211,420
7.565574174854211,380
7.565574174854211,329
7.565574174854211,396
7.565574174854211,100
7.565574174854211,337
7.565574174854211,424
7.565574174854211,424
